Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
19,2005-07-22,153.5,Issoire,Le Puy-en-Velay,Hilly stage,Giuseppe Guerini,ITA
20,2005-07-23,55.5,Saint-Étienne,Saint-Étienne,Individual time trial,Lance Armstrong[n 1],USA
21,2005-07-24,144.5,Corbeil-Essonnes,Paris,Plain stage,Alexander Vinokourov,KAZ
P,2004-07-03,6.1,Liège,Liège,Individual time trial,Fabian Cancellara,SUI
1,2004-07-04,202.5,Liège,Charleroi,Plain stage,Jaan Kirsipuu,EST
2,2004-07-05,197,Charleroi,Namur,Plain stage,Robbie McEwen,AUS
3,2004-07-06,210,Waterloo,Wasquehal,Plain stage,Jean-Patrick Nazon,FRA
4,2004-07-07,64.5,Cambrai,Arras,Team time trial,U.S. Postal Service,USA
5,2004-07-08,200.5,Amiens,Chartres,Plain stage,Stuart O'Grady,AUS
6,2004-07-09,196,Bonneval,Angers,Plain stage,Tom Boonen,BEL
7,2004-07-10,204.5,Châteaubriant,Saint-Brieuc,Plain stage,Filippo Pozzato,ITA
8,2004-07-11,168,Lamballe,Quimper,Plain stage,Thor Hushovd,NOR
9,2004-07-13,160.5,Saint-Léonard-de-Noblat,Guéret,Plain stage,Robbie McEwen,AUS
10,2004-07-14,237,Limoges,Saint-Flour,Hilly stage,Richard Virenque,FRA
11,2004-07-15,164,Saint-Flour,Figeac,Hilly stage,David Moncoutié,FRA
12,2004-07-16,197.5,Castelsarrasin,La Mongie,Mountain stage,Ivan Basso,ITA
13,2004-07-17,205.5,Lannemezan,Plateau de Beille,Mountain stage,Lance Armstrong[n 1],USA
14,2004-07-18,192.5,Carcassonne,Nîmes,Plain stage,Aitor González,ESP
15,2004-07-20,180.5,Valréas,Villard-de-Lans,Mountain stage,Lance Armstrong[n 1],USA
16,2004-07-21,15.5,Le Bourg-d'Oisans,Alpe d'Huez,Individual time trial,Lance Armstrong[n 1],USA
17,2004-07-22,204.5,Le Bourg-d'Oisans,Le Grand-Bornand,Mountain stage,Lance Armstrong[n 1],USA
18,2004-07-23,166.5,Annemasse,Lons-le-Saunier,Hilly stage,Juan Miguel Mercado,ESP
19,2004-07-24,55,Besançon,Besançon,Individual time trial,Lance Armstrong[n 1],USA
20,2004-07-25,163,Montereau-Fault-Yonne,Paris,Plain stage,Tom Boonen,BEL
P,2003-07-05,6.5,Paris,Paris,Individual time trial,Bradley McGee,AUS
1,2003-07-06,168,Saint-Denis,Meaux,Plain stage,Alessandro Petacchi,ITA
2,2003-07-07,204.5,La Ferté-sous-Jouarre,Sedan,Plain stage,Baden Cooke,AUS
3,2003-07-08,167.5,Charleville-Mézières,Saint-Dizier,Plain stage,Alessandro Petacchi,ITA
4,2003-07-09,69,Joinville,Saint-Dizier,Team time trial,U.S. Postal Service,USA
5,2003-07-10,196.5,Troyes,Nevers,Plain stage,Alessandro Petacchi,ITA
6,2003-07-11,230,Nevers,Lyon,Plain stage,Alessandro Petacchi,ITA
7,2003-07-12,230.5,Lyon,Morzine,Stage with mountain(s),Richard Virenque,FRA
8,2003-07-13,219,Sallanches,Alpe d'Huez,Stage with mountain(s),Iban Mayo,ESP
9,2003-07-14,184.5,Le Bourg-d'Oisans,Gap,Stage with mountain(s),Alexander Vinokourov,KAZ
10,2003-07-15,219.5,Gap,Marseille,Plain stage,Jakob Piil,DEN
11,2003-07-17,153.5,Narbonne,Toulouse,Plain stage,Juan Antonio Flecha,ESP
12,2003-07-18,47,Gaillac,Cap Découverte,Individual time trial,Jan Ullrich,GER
13,2003-07-19,197.5,Toulouse,Ax 3 Domaines,Stage with mountain(s),Carlos Sastre,ESP
14,2003-07-20,191.5,Saint-Girons,Loudenvielle,Stage with mountain(s),Gilberto Simoni,ITA
15,2003-07-21,159.5,Bagnères-de-Bigorre,Luz Ardiden,Stage with mountain(s),Lance Armstrong[n 1],USA
16,2003-07-23,197.5,Pau,Bayonne,Stage with mountain(s),Tyler Hamilton,USA
17,2003-07-24,181,Dax,Bordeaux,Plain stage,Servais Knaven,NED
18,2003-07-25,203.5,Bordeaux,Saint-Maixent-l'École,Plain stage,Pablo Lastras,ESP
19,2003-07-26,49,Pornic,Nantes,Individual time trial,David Millar,GBR
20,2003-07-27,152,Ville-d'Avray,Paris,Plain stage,Jean-Patrick Nazon,FRA
P,2002-07-06,7,Luxembourg City,Luxembourg City,Individual time trial,Lance Armstrong[n 1],USA
1,2002-07-07,192.5,Luxembourg City,Luxembourg City,Plain stage,Rubens Bertogliati,SUI
2,2002-07-08,181,Luxembourg City,Saarbrücken,Plain stage,Óscar Freire,ESP
3,2002-07-09,174.5,Metz,Reims,Plain stage,Robbie McEwen,AUS
4,2002-07-10,67.5,Épernay,Château-Thierry,Team time trial,ONCE–Eroski,
5,2002-07-11,195,Soissons,Rouen,Plain stage,Jaan Kirsipuu,EST
6,2002-07-12,199.5,Forges-les-Eaux,Alençon,Plain stage,Erik Zabel,GER
7,2002-07-13,176,Bagnoles-de-l'Orne,Avranches,Plain stage,Bradley McGee,AUS
8,2002-07-14,217.5,Saint-Martin-de-Landelles,Plouay,Plain stage,Karsten Kroon,NED
9,2002-07-15,52,Lanester,Lorient,Individual time trial,Santiago Botero,COL
10,2002-07-17,147,Bazas,Pau,Plain stage,Patrice Halgand,FRA
11,2002-07-18,158,Pau,La Mongie,Stage with mountain(s),Lance Armstrong[n 1],USA
12,2002-07-19,199.5,Lannemezan,Plateau de Beille,Stage with mountain(s),Lance Armstrong[n 1],USA
13,2002-07-20,171,Lavelanet,Béziers,Plain stage,David Millar,GBR
14,2002-07-21,221,Lodève,Mont Ventoux,Stage with mountain(s),Richard Virenque,FRA
15,2002-07-23,226.5,Vaison-la-Romaine,Les Deux Alpes,Hilly stage,Santiago Botero,COL
16,2002-07-24,179.5,Les Deux Alpes,La Plagne,Stage with mountain(s),Michael Boogerd,NED
17,2002-07-25,142,Aime,Cluses,Stage with mountain(s),Dario Frigo,ITA
18,2002-07-26,176.5,Cluses,Bourg-en-Bresse,Hilly stage,Thor Hushovd,NOR
19,2002-07-27,50,Régnié-Durette,Mâcon,Individual time trial,Lance Armstrong[n 1],USA
20,2002-07-28,144,Melun,Paris,Plain stage,Robbie McEwen,AUS
P,2001-07-07,8.2,Dunkirk,Dunkirk,Individual time trial,Christophe Moreau,FRA
1,2001-07-08,194.5,Saint-Omer,Boulogne-sur-Mer,Plain stage,Erik Zabel,GER
2,2001-07-09,220.5,Calais,Antwerp,Plain stage,Marc Wauters,BEL
3,2001-07-10,198.5,Antwerp,Seraing,Plain stage,Erik Zabel,GER
4,2001-07-11,215,Huy,Verdun,Plain stage,Laurent Jalabert,FRA
5,2001-07-12,67,Verdun,Bar-le-Duc,Team time trial,Crédit Agricole,
6,2001-07-13,211.5,Commercy,Strasbourg,Plain stage,Jaan Kirsipuu,EST
7,2001-07-14,162.5,Strasbourg,Colmar,Hilly stage,Laurent Jalabert,FRA
8,2001-07-15,222.5,Colmar,Pontarlier,Plain stage,Erik Dekker,NED
9,2001-07-16,185,Pontarlier,Aix-les-Bains,Plain stage,Serguei Ivanov,RUS
10,2001-07-17,209,Aix-les-Bains,Alpe d'Huez,Stage with mountain(s),Lance Armstrong[n 1],USA
11,2001-07-18,32,Grenoble,Chamrousse,Individual time trial,Lance Armstrong[n 1],USA
12,2001-07-20,166.5,Perpignan,Plateau de Bonascre,Stage with mountain(s),Félix Cárdenas,COL
13,2001-07-21,194,Foix,Saint-Lary-Soulan Pla d'Adet,Stage with mountain(s),Lance Armstrong[n 1],USA
14,2001-07-22,141.5,Tarbes,Luz Ardiden,Stage with mountain(s),Roberto Laiseka,ESP
15,2001-07-24,232.5,Pau,Lavaur,Plain stage,Rik Verbrugghe,BEL
16,2001-07-25,229.5,Castelsarrasin,Sarran,Plain stage,Jens Voigt,GER
17,2001-07-26,194,Brive-la-Gaillarde,Montluçon,Plain stage,Serge Baguet,BEL
18,2001-07-27,61,Montluçon,Saint-Amand-Montrond,Individual time trial,Lance Armstrong[n 1],USA
19,2001-07-28,149.5,Orléans,Évry,Plain stage,Erik Zabel,GER
20,2001-07-29,160.5,Corbeil-Essonnes,Paris,Plain stage,Ján Svorada,CZE
1,2000-07-01,16.5,Futuroscope,Futuroscope,Individual time trial,David Millar,GBR
2,2000-07-02,194,Futuroscope,Loudun,Plain stage,Tom Steels,BEL
3,2000-07-03,161.5,Loudun,Nantes,Plain stage,Tom Steels,BEL
4,2000-07-04,70,Nantes,Saint-Nazaire,Team time trial,ONCE–Deutsche Bank,
5,2000-07-05,202,Vannes,Vitré,Plain stage,Marcel Wüst,GER
6,2000-07-06,198.5,Vitré,Tours,Plain stage,Leon van Bon,NED
7,2000-07-07,205.5,Tours,Limoges,Plain stage,Christophe Agnolutto,FRA
8,2000-07-08,203.5,Limoges,Villeneuve-sur-Lot,Plain stage,Erik Dekker,NED
9,2000-07-09,181,Agen,Dax,Plain stage,Paolo Bettini,ITA
10,2000-07-10,205,Dax,Hautacam,Stage with mountain(s),Javier Otxoa,ESP
11,2000-07-11,218.5,Bagnères-de-Bigorre,Revel,Hilly stage,Erik Dekker,NED
12,2000-07-13,149,Carpentras,Mont Ventoux,Stage with mountain(s),Marco Pantani,ITA
13,2000-07-14,185.5,Avignon,Draguignan,Plain stage,José Vicente Garcia,ESP
14,2000-07-15,249.5,Draguignan,Briançon,Stage with mountain(s),Santiago Botero,COL
15,2000-07-16,173.5,Briançon,Courchevel,Stage with mountain(s),Marco Pantani,ITA
16,2000-07-18,196.5,Courchevel,Morzine,Stage with mountain(s),Richard Virenque,FRA
17,2000-07-19,155,Évian-les-Bains,Lausanne,Hilly stage,Erik Dekker,NED
18,2000-07-20,246.5,Lausanne,Freiburg,Plain stage,Salvatore Commesso,ITA
19,2000-07-21,58.5,Freiburg,Mulhouse,Individual time trial,Lance Armstrong[n 1],USA
20,2000-07-22,254.5,Belfort,Troyes,Plain stage,Erik Zabel,GER
21,2000-07-23,138,Paris,Paris,Plain stage,Stefano Zanini,ITA
